lon,lat
22.9504477,40.6039279
22.9527938,40.6040999
22.9555875,40.6043045
22.9570807,40.6044138
22.9576207,40.6044609
22.9607423,40.6050905
22.9071406,40.649998
22.9083481,40.6495764
22.910225,40.6489133
22.9136967,40.6476853
22.9196763,40.6447052
22.9204422,40.6441639
22.9210446,40.6437805
22.9218021,40.6433726
22.9225462,40.6429868
22.9233355,40.6426078
22.9238948,40.6423749
22.9254586,40.6418323
22.9305003,40.64002
22.90704,40.6498921
22.9078647,40.649592
22.9090503,40.6491667
22.9101411,40.6487836
22.9135922,40.6475408
22.9188505,40.6451787
22.9205372,40.6439186
22.9213862,40.6434219
22.9220037,40.643092
22.923252,40.6425015
22.9248545,40.6418851
22.9251133,40.6418011
22.9273217,40.6410671
22.9291336,40.6404721
22.9306475,40.6397487
22.9069018,40.647365
22.9073337,40.6471174
22.9078077,40.6468288
22.9082868,40.646499
22.9086298,40.6461649
22.9088758,40.6458787
22.9101842,40.6439316
22.9106348,40.6435184
22.9110333,40.6433677
22.9114166,40.6432292
22.9430808,40.6347991
22.9446884,40.6339889
22.9468038,40.6325546
22.9471138,40.6323944
22.9465046,40.6305002
22.9533286,40.6293465
22.9513718,40.6304203
22.9507183,40.630769
22.9489181,40.6316826
22.9438557,40.6313206
22.9444474,40.6318493
22.9432862,40.6325745
22.9440051,40.6332996
22.9501686,40.6352575
22.9499738,40.6358907
22.9521895,40.6391709
22.9516379,40.6396437
22.9498093,40.640729
22.949308,40.6409778
22.9486161,40.6412514
22.9476016,40.6415668
22.9460646,40.6419895
22.9449429,40.6423216
22.9434818,40.6426924
22.9382931,40.6422688
22.9389065,40.6419265
22.9399604,40.6414105
22.9404684,40.6411617
22.941181,40.6408128
22.945148,40.6387875
22.9455543,40.63858
22.9484656,40.637037
22.9489849,40.6367629
22.9518304,40.6352719
22.9542005,40.634646
22.9154476,40.6447454
22.9352808,40.6413325
22.9352758,40.6426976
22.9352945,40.6442223
22.9353555,40.6506839
22.9804044,40.6022221
22.9792116,40.6021648
22.9805572,40.6017788
22.9748104,40.5972529
22.9705727,40.5865418
22.970838,40.5869554
22.9710213,40.5872555
22.9711689,40.5874895
22.9713013,40.5880492
22.9720529,40.5939096
22.9719307,40.5940725
22.9718428,40.5942241
22.9717189,40.5946274
22.9714994,40.5952913
22.9714787,40.5953484
22.9586071,40.5927646
22.9590005,40.5930586
22.9592627,40.5936474
22.9596125,40.5951032
22.9599148,40.5954144
22.9604542,40.5956459
22.9646257,40.5973083
22.9690023,40.5974793
22.9706946,40.5974572
22.9712955,40.5975154
22.958794,40.598623
22.9632996,40.5995783
22.9618613,40.6007175
22.962222,40.5999153
22.9630889,40.5980327
22.9639732,40.5955119
22.9623291,40.6016729
22.9626658,40.6009463
22.9636185,40.5988901
22.9577813,40.60648
22.9621132,40.6028199
22.9615191,40.6026682
22.9574594,40.6103649
22.9608224,40.6102617
22.9621191,40.6102219
22.9646003,40.610785
22.9583515,40.6103375
22.9589753,40.6089285
22.9597798,40.607111
22.9591171,40.6192019
22.9610063,40.6196996
22.9623966,40.6221195
22.9689625,40.6189117
22.9692744,40.6186345
22.9693434,40.6185505
22.9694997,40.6177432
22.9695138,40.6176497
22.9695276,40.6175874
22.969906,40.6171483
22.9702193,40.617025
22.9709906,40.6168188
22.9731785,40.6162369
22.980861,40.6133542
22.9819143,40.612848
22.9823553,40.6127033
22.9860586,40.6114279
22.9597739,40.6107663
22.9633698,40.6120368
22.9640549,40.6122399
22.9672565,40.6132074
22.9674192,40.6133615
22.9691363,40.6139217
22.9720586,40.6149762
22.9725145,40.6152843
22.9727965,40.6156357
22.9753853,40.6196789
22.9785735,40.6185083
22.9774857,40.6168052
22.9814679,40.6095926
22.9788816,40.6142216
22.9791944,40.6126045
22.9797454,40.6098201
22.9797949,40.6094459
22.9754125,40.6057036
22.9747524,40.6057988
22.9763284,40.6079482
22.9796782,40.6090173
22.971269,40.6019522
22.9749374,40.602754
22.9754139,40.6027912
22.9761475,40.6026841
22.9759881,40.5958517
22.9767594,40.5961543
22.9773216,40.59638
22.9778068,40.5965608
22.9786207,40.5968671
22.9758715,40.6005815
22.9575802,40.5936069
22.9594563,40.5945623
22.9592067,40.5952568
22.9586605,40.5963309
22.9582553,40.5971709
22.9569644,40.6001988
22.9567686,40.600934
22.9565688,40.6016758
22.9563414,40.6025431
22.9558508,40.6036385
22.9526746,40.6050282
22.9535975,40.6050921
22.9564184,40.6057337
22.9577848,40.6060301
22.9598482,40.6064619
22.9613359,40.6068054
22.9542312,40.6319104
22.9592025,40.6338308
